ID,Primary,Secondary,MM,Code
--1,1,PM,24,C
--2,1,PM,20,C
--3,1,PM,27,C
--4,1,PM,24,C
--5,3,AM,23,C
--6,3,AM,20,C
--7,2,PM,27,C
--8,2,PM,21,C
-1-,1,PM,26,C
-2-,1,PM,24,C
-3-,2,AM,25,C
-4-,2,AM,22,C
-5-,3,AM,22,C
-6-A,2,AM,24,C
-6-B,2,AM,22,C
-7-,2,PM,24,C
-8-,3,AM,27,C
1--,2,AM,25,C
2--,2,PM,20,C
3--,4,PM,22,C
4--,4,PM,26,C
5--,5,AM,24,C
6--,5,AM,21,C
7--,5,PM,24,C
8--,5,PM,27,C
-11,2,PM,23,C
-12,2,PM,25,C
-13,3,PM,25,C
-14,3,PM,27,C
-15,4,PM,26,C
-16,4,PM,27,C
-17,3,AM,21,C
-18,3,AM,23,C
-21,2,PM,22,C
-22,2,PM,22,C
-23,4,AM,19,C
-24,4,AM,21,C
-25,4,PM,22,C
-26,4,PM,22,C
-27,3,AM,17,C
-28,3,PM,22,C
-31,4,PM,31,C
-32,5,AM,21,C
-33,4,PM,22,C
-34,5,AM,24,C
-35,4,AM,23,C
-36,5,PM,24,C
-37,3,PM,22,C
-38,5,AM,25,C
-41,5,AM,28,C
-42,5,AM,22,C
-43,5,AM,27,C
-44,5,AM,25,C
-45,4,AM,23,C
-46,5,PM,22,C
-47,5,PM,25,C
-48,6,AM,24,C
-51,6,AM,28,C
-52,6,AM,22,C
-53,6,AM,24,C
-54,6,AM,27,C
-55,6,AM,26,C
-56,6,AM,25,C
-57,6,AM,23,C
-58,6,PM,24,C
-61,6,PM,27,C
-62,6,PM,21,C
-63,6,PM,24,C
-64,6,PM,24,C
-65,7,AM,23,C
-66,7,AM,24,C
-67,7,AM,21,C
-68,7,AM,25,C
-71,5,PM,20,C
-72,6,PM,20,C
-73,7,PM,26,C
-74,7,PM,24,C
-75,7,PM,23,C
-76,7,PM,24,C
-77,3,AM,26,C
-78,3,AM,22,C
-81,7,PM,21,C
-82,8,AM,25,C
-83,8,AM,24,C
-84,8,AM,22,C
-85,9,PM,24,C
-86,10,AM,25,C
-87,3,AM,24,C
-88,3,AM,26,C
--9,10,AM,22,C
-9-,10,AM,21,C
9--,11,AM,26,C
-19,11,PM,23,C
-29,11,PM,21,C
-39,11,PM,23,C
-49,11,PM,21,C
-59,12,AM,23,C
-69,12,AM,23,C
-79,12,AM,23,C
-89,12,AM,23,C
-91,12,PM,24,C
-92,13,AM,22,C
-93,13,AM,24,C
-12,2,AM,NA,S
-11,2,AM,NA,S
--8,2,AM,NA,S
-12,2,PM,NA,S
-24,4,PM,NA,S
--7,4,PM,NA,M
-45,4,PM,NA,S
-45,5,AM,NA,A
-24,5,AM,NA,A
-23,5,PM,NA,A
-34,5,PM,NA,S
-43,5,PM,NA,S
-15,6,AM,NA,S
-56,6,PM,NA,A
-52,6,PM,NA,A
-61,7,PM,NA,A
-76,8,AM,NA,S
-76,9,AM,NA,S
-76,9,PM,NA,A
-65,9,PM,NA,M
--1,10,PM,NA,A
-89,10,PM,NA,A
-79,12,PM,NA,S
